[2026-09-26T14:34:57.956Z] syncing 1 Topps Tiles products to Shopify as DRAFT
[2026-09-26T14:43:07.009Z] ✓ Regal™ Straight Edge Trim Ash — 6/6 variants, 8 images, 6 variant images
[2026-09-26T14:43:12.555Z] ✓ Straight Edge PVC Trim — 8/8 variants, 10 images, 8 variant images
[2026-09-26T14:43:14.349Z] ✓ ATG Maxiflex Work Glove — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:43:22.359Z] ✓ HardieBacker Backerboard 6mm — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:43:27.762Z] ✓ RUBI Diamond Blade CEV Wet - Accessories — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:43:29.624Z] ✓ RUBI Drill Bit 65mm Carbide - Drilling — 2/2 variants, 4 images, 2 variant images
[2026-09-26T14:43:35.817Z] ✓ RUBI Wide Chisel 60 — 1/1 variants, 1 images, 1 variant images
[2026-09-26T14:43:38.068Z] ✓ RUBI Grouter - Tools & Accessories — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:43:42.050Z] ✓ RUBI BL-Basic 60 — 1/1 variants, 1 images, 1 variant images
[2026-09-26T14:43:43.209Z] ✓ RUBI Paint Spatula SSteel PH — 5/5 variants, 5 images, 5 variant images
[2026-09-26T14:43:49.679Z] ✓ RUBI Tungsten Carbide Cutting Wheel Gold 10mm — 1/1 variants, 1 images, 1 variant images
[2026-09-26T14:43:56.940Z] ✓ RUBI Dry Cut Diamond Bit - Drilling — 11/11 variants, 18 images, 11 variant images
[2026-09-26T14:43:57.714Z] ✓ RUBI Rubiflex Tape Measure — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:44:05.381Z] ✓ Rubi Widia Tungsten Carbide Tile Scoring Wheel | Tiling Tools — 6/6 variants, 6 images, 6 variant images
[2026-09-26T14:44:11.757Z] ✓ Warmup Element Tempo Black — 3/3 variants, 6 images, 3 variant images
[2026-09-26T14:44:12.784Z] ✓ Warmup Insulating Board — 4/4 variants, 4 images, 4 variant images
[2026-09-26T14:44:20.308Z] ✓ Warmup Prowire 10 - 10.0m Under Tile Heating — 6/6 variants, 6 images, 6 variant images
[2026-09-26T14:44:26.795Z] ✓ RUBI Diamond Blade CPA Wet - Accessories — 5/5 variants, 5 images, 5 variant images
[2026-09-26T14:44:27.643Z] ✓ RUBI Fluid Mixer - Tools & Accessories — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:44:34.735Z] ✓ RUBI Hammer Black Rubber — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:44:40.360Z] ✓ BAL Silicone Sealant White 310ml — 1/1 variants, 1 images, 1 variant images
[2026-09-26T14:44:41.210Z] ✓ RUBI T Spacers — 4/4 variants, 4 images, 4 variant images
[2026-09-26T14:44:42.423Z] ✓ Galvanised Washers - Wedi Fixings — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:44:42.424Z] progress 75/843 (ok 75, warnings 0, failed 0)
[2026-09-26T14:44:59.221Z] ✓ Cemente™ — 6/6 variants, 19 images, 6 variant images
[2026-09-26T14:44:59.705Z] ✓ Split Face — 5/5 variants, 21 images, 5 variant images
[2026-09-26T14:45:05.517Z] ✓ Rhomba™ — 11/11 variants, 44 images, 11 variant images
[2026-09-26T14:45:14.390Z] ✓ Dakota Levelling Clip — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:45:19.697Z] ✓ RUBI Trowel Steel CPH — 4/4 variants, 4 images, 4 variant images
[2026-09-26T14:45:23.896Z] ✓ Victorian Flooring™ — 16/16 variants, 52 images, 16 variant images
[2026-09-26T14:45:29.255Z] ✓ RUBI Trowel Steel CRH — 5/5 variants, 5 images, 5 variant images
[2026-09-26T14:45:35.256Z] ✓ RUBI Trowel Steel CWH 28cm — 6/6 variants, 6 images, 6 variant images
[2026-09-26T14:45:39.207Z] ✓ RUBI Trowel Steel CWH — 6/6 variants, 6 images, 6 variant images
[2026-09-26T14:45:44.926Z] ✓ RUBI Trowel Steel ORH — 7/7 variants, 7 images, 7 variant images
[2026-09-26T14:45:50.575Z] ✓ RUBI Trowel SS INOX ORH — 7/7 variants, 7 images, 7 variant images
[2026-09-26T14:45:54.184Z] ✓ Rubi Rubiflex Trowel 45 Degree — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:45:59.378Z] ✓ Rubi Rubber Trowel Pro — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:45:59.768Z] ✓ RUBI Brick Trowel PFP01-140 — 1/1 variants, 1 images, 1 variant images
[2026-09-26T14:46:06.141Z] ✓ Rubi Brick Trowel PFP24 — 4/4 variants, 4 images, 4 variant images
[2026-09-26T14:46:14.770Z] ✓ RUBI Brick Trowel PFP05 — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:46:15.302Z] ✓ RUBI Brick Trowel PFP19 — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:46:20.873Z] ✓ RUBI Brick Trowel PFP22 — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:46:30.444Z] ✓ RUBI Plastic Float PH — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:46:30.907Z] ✓ RUBI Plastic Basket — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:46:37.240Z] ✓ RUBI Flat Chisel — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:46:45.719Z] ✓ RUBI Spatula Steel WH — 4/4 variants, 4 images, 4 variant images
[2026-09-26T14:46:46.126Z] ✓ RUBI Trowel SS INOX CWH — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:46:51.461Z] ✓ RUBI Spatula — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:46:52.581Z] ✓ RUBI R Sponge Float C 280x140 Pro — 1/1 variants, 1 images, 1 variant images
[2026-09-26T14:46:52.582Z] progress 100/843 (ok 100, warnings 0, failed 0)
[2026-09-26T14:46:57.715Z] ✓ RUBI R Sponge Float F 280x140 Pro — 1/1 variants, 1 images, 1 variant images
[2026-09-26T14:47:01.774Z] ✓ RUBI Rule Support Set — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:47:11.249Z] ✓ Complements™ Door Bar — 10/10 variants, 11 images, 10 variant images
[2026-09-26T14:47:13.284Z] ✓ Duraflex Movement Joint — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:47:17.181Z] ✓ Topps Tiles Fila Unpolished Protector — 2/2 variants, 4 images, 2 variant images
[2026-09-26T14:47:17.547Z] ✓ White 9mm Trim — 1/1 variants, 1 images, 1 variant images
[2026-09-26T14:47:28.428Z] ✓ Topps Tiles Straight Edge Trim — 8/8 variants, 8 images, 8 variant images
[2026-09-26T14:47:31.776Z] ✓ Topps Tiles Silver Quad Trim — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:47:32.391Z] ✓ Topps Tiles Square Edge Trim — 4/4 variants, 4 images, 4 variant images
[2026-09-26T14:47:42.820Z] ✓ RUBI Practic with Lateral Stop — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:47:46.138Z] ✓ RUBI Speed Magnet — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:47:46.619Z] ✓ RUBI Speed Magnet with Case — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:47:57.556Z] ✓ RUBI Brick Trowel PFM24 — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:48:00.864Z] ✓ RUBI-Brick-Trowel-PFM22 — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:48:13.181Z] ✓ Complements™ Trims — 43/43 variants, 61 images, 43 variant images
[2026-09-26T14:48:15.574Z] ✓ Adalene™ — 3/3 variants, 14 images, 3 variant images
[2026-09-26T14:48:19.939Z] ✓ Travertine Mosaics — 4/4 variants, 15 images, 4 variant images
[2026-09-26T14:48:30.815Z] ✓ Marble Mosaics — 3/3 variants, 7 images, 3 variant images
[2026-09-26T14:48:31.774Z] ✓ Travertine Tiles — 4/4 variants, 19 images, 4 variant images
[2026-09-26T14:48:35.085Z] ✓ Duraflex Grey Movement Joint — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:48:41.350Z] ✓ Emerale™ Marble Tile — 1/1 variants, 5 images, 1 variant images
[2026-09-26T14:48:46.881Z] ✓ Complements™ Z Bars — 5/5 variants, 6 images, 5 variant images
[2026-09-26T14:48:47.284Z] ✓ Statements™ Gatzby™ Marble Effect Tile — 1/1 variants, 5 images, 1 variant images
[2026-09-26T14:48:47.752Z] ✓ Stello™ — 2/2 variants, 10 images, 2 variant images
[2026-09-26T14:49:02.166Z] ✓ Outdoor Edging Joint — 3/3 variants, 3 images, 3 variant images
[2026-09-26T14:49:02.168Z] progress 125/843 (ok 125, warnings 0, failed 0)
[2026-09-26T14:49:02.639Z] ✓ Victoria — 2/2 variants, 9 images, 2 variant images
[2026-09-26T14:49:03.096Z] ✓ Outdoor Edging Corner Trims — 2/2 variants, 2 images, 2 variant images
[2026-09-26T14:49:09.847Z] ✓ Lustre White (30cm x 60cm) — 1/1 variants, 5 images, 1 variant images
