row,product,columnE
72,"Joy Wall Hung Tall Storage Unit (Moka Walnut)","Not blurry - checked"
73,"RAK-Resort 350x1650 Tall Storage Unit Basin Unit in Matt White","Not blurry - checked"
74,"RAK-Prima Tech Wall Mounted Basin Mixer with Back Plate","Not blurry - checked"
75,"Venice Side Lever Kitchen Sink Mixer","Not blurry - checked"
76,"Paris Side Lever Kitchen Sink Mixer","Not blurry - checked"
77,"Paris Side Lever Kitchen Sink Mixer","Not blurry - checked"
78,"Selby Kitchen Sink Mixer","Not blurry - checked"
79,"Paris Side Lever Kitchen Sink Mixer","Not blurry - checked"
80,"Madrid Pull Out Side Lever Kitchen Sink Mixer","Not blurry - checked"
81,"Heatmiser NeoStat Pro Thermostat - White","Not blurry - checked"
82,"Grant Quick Recovery Twin Coil Cylinder","Blurry - subject only 228px and soft"
83,"Grant Quick Recovery Single Coil Slimline Cylinder","Blurry - subject only 254px and soft"
84,"Neptune Slimline In-Direct Unvented Hot Water Storage Cylinder","Not blurry - checked"
85,"Grant Quick Recovery Single Coil Cylinder","Blurry - subject only 268px and soft"
86,"Heatmiser neoAir V3 Smart Thermostat & RF Switch","Not blurry - checked"
87,"EPH Recessed Programmable Thermostat","Not blurry - checked"
88,"Salus SD600 Smart Smoke Detector","Not blurry - checked"
89,"Larger Glade pendant in natural wood","Not blurry - checked"
90,"G9 3 watt frosted bulb dimmable 2700k","Not blurry - checked"
91,"14cm Tall Tapered hand made marbled paper shade in golden piave","Not blurry - checked"
